# Threshold-floor intervention on seed16. The floor is scaled to _k(n)=k\, (n), so k=1 is the
# anchor's own null gate and k=0 is a sign gate. Recovery is (fresh_0-fresh_k)/fresh_0 and
# retention is fresh/online. The sweep is a matched protocol contrast. It is not a single-factor
# intervention, because the same k also scales the single-pixel threshold used in the warm-up, so
# the arms start from different states and with different remaining budgets. A re-run of the same
# anchor, not a re-analysis of published records; plotted in Fig.~ d.
# Re-emitted from manuscript_p2_optical_engineering.tex; the numbers are the paper's own.
k,tau_k_1,accepts,online,fresh,recovery_percent,retention_percent
0.00,0,53,0.149629,0.150530,---,100.6%
0.25,4.19e-4,23,0.116326,0.122107,18.9%,105.0%
0.50,8.39e-4,17,0.124129,0.112201,25.5%,90.4%
1.00,1.68e-3,5,0.062586,0.058880,60.9%,94.1%
2.00,3.36e-3,0,0.003712,0.003745,97.5%,100.9%
